id;type;note_maximale;date;coefficient;cours_id;session_id;session_id
1;DS;27402.34;2025-05-18;17158.85;24732;25371;1
2;DS;20251.24;2025-05-18;26828.76;26028;19941;2
3;PROJET;16561.46;2025-05-17;17686.28;17267;15612;3
4;DM;31138.65;2025-05-18;32252.89;18413;2255;4
5;DS;28985.77;2025-05-18;12790.9;13947;30780;5
6;DS;18219.67;2025-05-18;15799.49;15085;7347;6
7;PROJET;31759.63;2025-05-18;2875.18;12926;23458;7
8;DM;10797.12;2025-05-18;21581.6;15030;19888;8
9;EXAMEN;7909.03;2025-05-18;18469.53;5560;31844;9
10;EXAMEN;11487.2;2025-05-18;31882.88;6762;19981;10
