id;valeur;commentaires;date_saisie;etudiant_id;evaluation_id;evaluation_id
1;27165.22;concrete;2025-05-18T10:26:27;26549;4208;1
2;21593.99;debit than busily;2025-05-18T02:59:38;10025;28745;2
3;5731.66;selfishly;2025-05-18T13:15:04;7616;771;3
4;9507.27;ah whose qua;2025-05-18T08:03:06;10038;21790;4
5;29178.61;deliberately mysteriously carelessly;2025-05-18T11:25:55;15374;4061;5
6;5979.27;familiar;2025-05-18T06:13:07;8956;7213;6
7;10434.06;designation lay;2025-05-18T18:58:49;28000;7115;7
8;10874.58;for;2025-05-18T10:49:59;25797;27260;8
9;21163.57;geez um husky;2025-05-17T21:35:08;13819;7100;9
10;8138.39;indeed;2025-05-18T14:39:31;20960;12637;10
